session,trialno,difficulty,accuracy,period_in_trial,step_reached,durPeriodTotal,FixNb,FixNbInL,FixNbInR,FixNbInT,FixNbNoAOI,FixTotDurInL,FixTotDurInR,FixTotDurInT,FixTotDurInNoAOI,LookNb,LookNbInL,LookNbInR,LookNbInT,LookNbNoAOI,LookTotDurInL,LookTotDurInR,LookTotDurInT,NbSwitches,objL,objR,objT,sideChosen,sideMatch,timePeriodStarts,timePeriodEnds
curE104a,12,Easy,1.0,exploration,3,6810,16,9,6,1,0,2178,2594,468,0,6,3,3,0,0,2566,2722,532,4,A-1-I-4.png,F-4-E-1.png,A-1-I-4.png,left,left,1260.0,3606.0
curE104a,12,Easy,1.0,decision,3,1182,3,1,0,2,0,528,0,586,4,1,0,0,1,0,528,0,650,0,A-1-I-4.png,F-4-E-1.png,A-1-I-4.png,left,left,3608.0,4872.0
curE104a,13,Easy,1.0,exploration,3,2378,4,0,0,4,0,0,0,1546,0,1,0,0,1,0,0,0,1796,0,V-1-G-1.png,O-1-D-2.png,V-1-G-1.png,left,left,1434.0,8242.0
curE104a,13,Easy,1.0,decision,3,1398,3,1,0,2,0,528,0,806,6,1,0,0,1,0,528,0,864,0,V-1-G-1.png,O-1-D-2.png,V-1-G-1.png,left,left,8244.0,9424.0
curE104a,14,Medium,0.0,exploration,3,4148,9,0,4,5,0,0,702,1636,0,2,0,1,1,0,0,886,1846,1,F-3-H-3.png,F-1-A-3.png,F-1-A-3.png,left,right,1280.0,3656.0
curE104a,14,Medium,0.0,decision,3,1982,5,0,1,4,0,0,472,1194,0,1,0,0,1,0,0,540,1442,0,F-3-H-3.png,F-1-A-3.png,F-1-A-3.png,left,right,3658.0,5054.0
curE104a,15,Medium,1.0,exploration,3,2378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F-4-E-4.png,F-2-G-3.png,F-2-G-3.png,right,right,1414.0,5560.0
curE104a,15,Medium,1.0,decision,3,2116,5,1,0,4,0,474,0,932,0,1,0,0,1,0,540,0,1114,0,F-4-E-4.png,F-2-G-3.png,F-2-G-3.png,right,right,5562.0,7542.0
curE104a,16,Medium,0.0,exploration,3,6182,16,9,6,1,0,2004,2384,430,0,3,1,1,1,0,2548,2706,430,2,O-4-H-4.png,O-1-C-3.png,O-1-C-3.png,left,right,1448.0,3824.0
curE104a,16,Medium,0.0,decision,3,1216,3,1,0,2,0,474,0,528,0,1,0,0,1,0,530,0,648,0,O-4-H-4.png,O-1-C-3.png,O-1-C-3.png,left,right,3826.0,5940.0
curE104a,17,Medium,1.0,exploration,3,2332,8,0,0,6,2,0,0,1052,366,1,0,0,1,0,0,0,1168,0,A-2-F-4.png,A-4-I-1.png,A-2-F-4.png,left,left,1446.0,7626.0
curE104a,17,Medium,1.0,decision,3,950,3,2,0,1,0,456,0,380,0,2,1,0,1,0,456,0,380,1,A-2-F-4.png,A-4-I-1.png,A-2-F-4.png,left,left,7628.0,8842.0
curE104a,20,Hard,1.0,exploration,3,2482,5,3,1,1,0,790,588,462,0,1,1,0,0,0,894,710,528,1,O-2-J-2.png,O-2-G-4.png,O-2-G-4.png,right,right,2550.0,4876.0
curE104a,20,Hard,1.0,decision,3,1066,3,1,0,2,0,528,0,458,8,1,0,0,1,0,528,0,530,0,O-2-J-2.png,O-2-G-4.png,O-2-G-4.png,right,right,4878.0,7526.0
curE104a,21,Hard,0.0,exploration,3,10926,24,11,12,1,0,3836,3396,340,0,9,5,4,0,0,4278,3872,346,5,A-3-F-3.png,A-3-E-1.png,A-3-E-1.png,left,right,1460.0,3940.0
curE104a,21,Hard,0.0,decision,3,1000,3,0,2,1,0,434,36,418,0,2,0,1,1,0,434,36,418,1,A-3-F-3.png,A-3-E-1.png,A-3-E-1.png,left,right,3942.0,5006.0
curE104a,23,Medium,0.0,exploration,2,14544,23,15,7,1,0,5138,2202,448,0,7,4,3,0,0,5944,2428,0,4,F-3-A-2.png,F-4-E-1.png,F-3-A-2.png,right,left,13074.0,17938.0
curE104a,23,Medium,0.0,decision,2,10038,26,0,0,26,0,0,0,4528,0,1,0,0,1,0,0,0,5900,0,F-3-A-2.png,F-4-E-1.png,F-3-A-2.png,right,left,17940.0,25384.0
curE104a,25,Medium,1.0,exploration,3,4048,11,5,5,1,0,1356,1178,484,0,2,1,1,0,0,1716,1418,544,2,O-4-J-3.png,O-1-D-1.png,O-4-J-3.png,left,left,1428.0,5824.0
curE104a,25,Medium,1.0,decision,3,1100,3,1,0,2,0,528,0,494,4,1,0,0,1,0,528,0,568,0,O-4-J-3.png,O-1-D-1.png,O-4-J-3.png,left,left,5826.0,6742.0
curE104a,28,Medium,0.0,exploration,3,4162,10,3,4,1,2,1062,1314,464,166,4,2,2,0,0,1126,1370,0,3,V-2-B-3.png,V-4-G-3.png,V-4-G-3.png,left,right,1730.0,5094.0
curE104a,28,Medium,0.0,decision,3,1082,3,1,0,2,0,526,0,492,4,1,0,0,1,0,526,0,552,0,V-2-B-3.png,V-4-G-3.png,V-4-G-3.png,left,right,5096.0,6244.0
curE104a,31,Medium,0.0,exploration,2,19660,47,46,0,1,0,9476,0,222,0,1,1,0,0,0,10762,0,306,1,O-1-C-3.png,O-3-B-4.png,O-1-C-3.png,right,left,1262.0,4022.0
curE104a,31,Medium,0.0,decision,2,10038,2,0,0,2,0,0,0,640,0,1,0,0,1,0,0,0,710,0,O-1-C-3.png,O-3-B-4.png,O-1-C-3.png,right,left,4024.0,5954.0
