session,trialno,difficulty,accuracy,sideChosen,durExplorationPeriod,durDecisionPeriod,durPeriodTotal,SwitchesExplorationPeriod,SwitchesDecisionPeriod,NbSwitches,FixNbExplorationPeriod,FixNbDecisionPeriod,FixNb,FixNbInTDecision,FixNbInLExploration,FixNbInRExploration,FixNbBottomExploration,LookDurInTDecision,LookDurInLExploration,LookDurInRExploration,LookDurBottomExploration,prior_accuracy
curE009a,47,Easy,1.0,right,2330,2832,5162,2,0,2,5,6,11,5,2,1,3,1498,644,144,788,
curE009a,48,Easy,0.0,right,2598,3200,5798,1,1,2,2,3,5,1,2,0,2,246,436,0,436,1.0
curE009a,49,Easy,1.0,left,14928,1914,16842,4,1,5,19,3,22,2,10,7,17,1840,3654,1738,5392,0.0
curE009a,50,Easy,0.0,right,3410,8998,12408,2,1,3,9,8,17,6,5,2,7,3010,1676,644,2320,1.0
curE011a,7,Easy,1.0,left,4230,2182,6412,2,0,2,12,3,15,2,4,7,11,1886,1456,1948,3404,
curE011a,8,Easy,1.0,right,4232,2482,6714,2,0,2,11,5,16,4,4,6,10,2478,1000,2104,3104,1.0
curE011a,9,Medium,1.0,right,5976,1850,7826,1,0,1,12,3,15,2,0,11,11,1850,0,5210,5210,1.0
curE011a,10,Medium,1.0,right,3278,1748,5026,2,0,2,4,3,7,2,1,2,3,1746,430,1994,2424,1.0
curE011a,11,Hard,0.0,right,5164,4882,10046,2,0,2,13,10,23,8,7,5,12,2882,2190,1816,4006,1.0
curE011a,12,Hard,1.0,left,2932,1600,4532,2,0,2,8,3,11,2,3,4,7,1580,936,1322,2258,0.0
curE011a,13,Hard,1.0,left,2332,1816,4148,1,0,1,2,5,7,4,0,1,1,2750,0,318,318,1.0
curE011a,14,xHard,0.0,left,7962,1200,9162,3,1,4,15,3,18,1,6,8,14,1142,3356,3274,6630,1.0
curE011a,15,xHard,1.0,left,3514,1932,5446,1,1,2,7,4,11,3,3,3,6,1702,1540,1002,2542,0.0
curE011a,16,xHard,1.0,right,2860,2200,5060,2,0,2,10,6,16,5,4,5,9,1508,952,1226,2178,1.0
curE011a,17,xHard,0.0,right,12556,2916,15472,2,0,2,29,5,34,4,17,11,28,2922,6368,4360,10728,1.0
curE011a,18,xHard,1.0,left,3014,4382,7396,1,0,1,6,7,13,6,0,4,4,3208,0,1762,1762,0.0
curE011a,20,xHard,1.0,left,7448,10246,17694,2,0,2,14,15,29,14,4,8,12,7634,996,2468,3464,
curE011a,21,xHard,1.0,left,2830,650,3480,2,1,3,4,2,6,0,1,2,3,536,840,1224,2064,1.0
curE011a,22,xHard,1.0,left,4448,2666,7114,3,1,4,11,6,17,3,5,5,10,1840,1960,1608,3568,1.0
curE011a,23,xHard,0.0,left,11924,1816,13740,3,0,3,24,3,27,2,9,14,23,1400,4712,5134,9846,1.0
curE011a,24,xHard,1.0,left,7312,2000,9312,3,0,3,14,4,18,3,5,7,12,2452,1258,3630,4888,0.0
curE011a,25,xHard,0.0,left,4342,1716,6058,2,0,2,11,4,15,3,2,8,10,1708,926,2496,3422,1.0
